core_product,accessory_category,accessory_name,purchase_count,attach_rate
iPhone 15,Case,Gripp Dusk MagSafe Case for Apple iPhone 16 Plus  6.7  - Black,1,3.3936843534182887e-06
iPhone 15,Case,Apple Watch SE GPS   Cellular 44mm Midnight Aluminium Case with Midnight Sport Band - M/L,9,3.05431591807646e-05
iPhone 15,Case,RIVACASE 7703 black ECO Laptop sleeve 13.3 / 12,9,3.05431591807646e-05
iPhone 15,Case,Gripp CLARION Case for Apple iPhone 15 (6.1) - Black,17,5.7692634008110906e-05
iPhone 15,Case,Gripp Airpods Pro 2 Case + Strap + Keyring Hook - Indigo,15,5.090526530127433e-05
iPhone 15,Case,PULSE Matt Magsafe Case for iPhone 16-Black,10,3.393684353418289e-05
iPhone 15,Case,Gripp NEO Case for Apple iPhone 15 (6.1) - Smoke,20,6.787368706836578e-05
iPhone 15,Case,IPHONE 15 SI CASE BLACK-ZML,12,4.072421224101946e-05
iPhone 15,Case,Gripp Melon Case for Apple iPad 10.9 (10th Generation) 2022 - Grey/Black,15,5.090526530127433e-05
iPhone 15,Case,Pulse TANK Gradient Magsafe case for iPhone 15 Pro Max-Blue,12,4.072421224101946e-05
iPhone 15,Case,Apple Watch SE GPS 44mm Midnight Aluminium Case with Midnight Sport Band - M/L,14,4.751158094785604e-05
iPhone 15,Case,IPHONE 15 PLUS SI CASE CYPRESS-ZML,1,3.3936843534182887e-06
iPhone 15,Case,Pulse SILICON Case for iPhone 16-Black,2,6.787368706836577e-06
iPhone 15,Case,RIVACASE 8720 grey Laptop bag 13.3 / 6,1,3.3936843534182887e-06
iPhone 15,Other,Gripp MAGRING MOUNT - Black,1,3.3936843534182887e-06
iPhone 15,Case,Pulse Clear Magsafe Case for iPhone 15 Pro-Clear,22,7.466105577520235e-05
iPhone 15,Cable,Apple USB-C to Lightning Cable (1 m),69,0.0002341642203858619
iPhone 15,Watch Band,Gripp 40/42/44mm stainless steel watch strap - Black,26,8.82357931888755e-05
iPhone 15,Case,Gripp HERITAGE XTREME Magsafe Case for Apple iPhone 15 Pro Max(6.7) - Camel,7,2.375579047392802e-05
iPhone 15,Other,GrippÂ MagSafeÂ CardÂ HolderÂ With Stand- Camel,5,1.6968421767091444e-05
iPhone 15,Case,Gripp Alpine Magsafe Case for Apple iPhone 15(6.1) - Black,12,4.072421224101946e-05
iPhone 15,Watch Band,Gripp 38/40mm stainless steel watch strap - Gold,15,5.090526530127433e-05
iPhone 15,Other,Tucano Gommo Sleeve-Blue Ultrabooks   Macbooks 13,1,3.3936843534182887e-06
iPhone 15,Other,PG MSC-ALUM-RADIAL OXBLOOD-OXT OXT,7,2.375579047392802e-05
iPhone 15,Case,Apple Watch Series 10 GPS 46mm Jet Black Aluminium Case with Black Sport Band - M/L,18,6.10863183615292e-05
iPhone 15,Case,Gripp Clear Case for Apple iPhone 14 Max (6.7) - Transparent,1,3.3936843534182887e-06
iPhone 15,Case,Apple Watch Series 9 GPS 41mm Starlight Aluminium Case with Starlight Sport Band - S/M,1,3.3936843534182887e-06
iPhone 15,Case,Apple Watch Series 9 GPS 45mm Midnight Aluminium Case with Midnight Sport Band - S/M,2,6.787368706836577e-06
iPhone 15,Case,Apple Watch Series 10 GPS 42mm Rose Gold Aluminium Case with Light Blush Sport Band - M/L,2,6.787368706836577e-06
iPhone 15,Case,AT Minimal Magsafe Case For iPhone 15 -81054 -Clear,19,6.448000271494748e-05
iPhone 15,Watch Band,Gripp 38/40mm stainless steel watch strap - Rose Gold,8,2.714947482734631e-05
iPhone 15,Case,Gripp Elite case + Keyring Hook for Airpods Pro 2 - Black,12,4.072421224101946e-05
iPhone 15,Other,ACCENTUM Wireless Black,1,3.3936843534182887e-06
iPhone 15,Other,Tucano Smilza Slimbag Macbooks upto 16   Laptops upto 15.6 -Blue,1,3.3936843534182887e-06
iPhone 15,Other,13-inch MBA M2 chip 8-core CPU and 10-core GPU/512GB - Starlight,5,1.6968421767091444e-05
iPhone 15,Case,Pulse Super crystal magsafe case for iPhone 15 Pro Max-Clear,10,3.393684353418289e-05
iPhone 15,Other,Beats Solo Buds - True Wireless Earbuds - Matte Black,2,6.787368706836577e-06
iPhone 15,Case,HYPHEN AIRE Clear Soft Case - iPhone 14 - 6.1,3,1.0181053060254866e-05
iPhone 15,Case,Pulse CLEAR Case with Camera stand for iPhone 16 Pro Max-Dark Blue,1,3.3936843534182887e-06
iPhone 15,Other,Apple AirTag  4 Pack ,23,7.805474012862063e-05
iPhone 15,Charger/Adapter,Apple 35W Dual USB-C Port Power Adapter,3,1.0181053060254866e-05
iPhone 15,Case,Pulse FROSTED Case for iPhone 15 Pro-Black,9,3.05431591807646e-05
iPhone 15,Case,Pulse LIQUID silicon case for iPhone 15 Pro Max-Black,3,1.0181053060254866e-05
iPhone 15,Charger/Adapter,Powerup 3in1 Flat Wireless Charger - Black,3,1.0181053060254866e-05
iPhone 15,Case,Gripp Defender Case for Apple iPhone 15 (6.1) - Black,8,2.714947482734631e-05
iPhone 15,Other,Tucano Gommo Slimbag-Black Macbooks upto 16,7,2.375579047392802e-05
iPhone 15,Case,iPhone 14 Silicone Case with MagSafe - Elderberry,1,3.3936843534182887e-06
iPhone 15,Case,Tucano UP Elements case for iPad Air 11 M2  2024  - Black,1,3.3936843534182887e-06
iPhone 15,Case,Gripp HERITAGE XTREME Magsafe Case for Apple iPhone 15- Black,7,2.375579047392802e-05
iPhone 15,Case,Gripp Defender Magsafe Case for Apple iPhone 15 (6.1) - Black,6,2.036210612050973e-05
iPhone 15,Case,Apple Watch SE GPS 40mm Midnight Aluminium Case with Midnight Sport Band - S/M,15,5.090526530127433e-05
iPhone 15,Cable,PowerUp Alu-RubTough 3-In-1 (Lighting+Micro+2.0 USB-C) SYNC & Charging Cable,6,2.036210612050973e-05
iPhone 15,Case,Pulse HORNOR Case for iPhone 15 Pro Max-Blue,2,6.787368706836577e-06
iPhone 15,Other,tomtoc Laptop Sleeve 14  Black,5,1.6968421767091444e-05
iPhone 15,Keyboard,Gripp Keyboard Skin for Apple Macbook Pro 14 and 16 M1 - 2021 - Black,2,6.787368706836577e-06
